Time of Call,API Code,App Name,call_count
2023-02-28,A15,Ola,415
2023-03-31,A15,Freshdesk,466
2023-04-30,A15,LinkedIn,420
2023-05-31,A15,Jira,447
2023-06-30,A15,Hotstar,449
2023-07-31,A15,AWS,485
2023-08-31,A15,LinkedIn,491
2023-09-30,A15,GitHub,430
2023-10-31,A15,Facebook,455
2023-11-30,A15,Google,453
2023-12-31,A15,Salesforce,456
2024-01-31,A15,Flipkart,458
2024-02-29,A15,Google Pay,429
2024-03-31,A15,Zomato,475
2024-04-30,A15,Microsoft Teams,470
2024-05-31,A15,Confluence,456
2024-06-30,A15,YouTube,470
2024-07-31,A15,Slack,440
2024-08-31,A15,Google Cloud,456
2024-09-30,A15,PhonePe,444
2024-10-31,A15,GitHub,470
2024-11-30,A15,LinkedIn,466
2024-12-31,A15,Zoom,443
2025-01-31,A15,Google Pay,451
2025-02-28,A15,Netflix,357
2025-03-31,A15,Zoho,441
2025-04-30,A15,Hotstar,394
2025-05-31,A15,Google,421
2025-06-30,A15,Hotstar,387
2025-07-31,A15,Zomato,430
2025-08-31,A15,GitLab,417
2025-09-30,A15,Slack,418
2025-10-31,A15,AWS,461
2025-11-30,A15,Jira,240
