datetime,call_count
2023-02-28,447
2023-03-31,541
2023-04-30,451
2023-05-31,461
2023-06-30,462
2023-07-31,484
2023-08-31,517
2023-09-30,466
2023-10-31,468
2023-11-30,507
2023-12-31,457
2024-01-31,462
2024-02-29,436
2024-03-31,483
2024-04-30,468
2024-05-31,471
2024-06-30,464
2024-07-31,497
2024-08-31,487
2024-09-30,441
2024-10-31,475
2024-11-30,514
2024-12-31,488
2025-01-31,457
2025-02-28,418
2025-03-31,440
2025-04-30,424
2025-05-31,452
2025-06-30,435
2025-07-31,418
2025-08-31,398
2025-09-30,455
2025-10-31,466
