Time of Call,API Code,App Name,call_count
2023-02-02,A21,Swiggy,12
2023-02-03,A21,GitLab,13
2023-02-04,A21,Razorpay,11
2023-02-05,A21,Swiggy,20
2023-02-06,A21,Ola,16
2023-02-07,A21,Snapchat,16
2023-02-08,A21,Snapchat,15
2023-02-09,A21,PhonePe,9
2023-02-10,A21,Confluence,9
2023-02-11,A21,Dropbox,17
2023-02-12,A21,Jira,17
2023-02-13,A21,Freshdesk,21
2023-02-14,A21,Confluence,13
2023-02-15,A21,Dropbox,11
2023-02-16,A21,Swiggy,9
2023-02-17,A21,Facebook,19
2023-02-18,A21,Amazon,12
2023-02-19,A21,Snapchat,15
2023-02-20,A21,Facebook,11
2023-02-21,A21,Razorpay,13
2023-02-22,A21,Swiggy,11
2023-02-23,A21,Amazon,20
2023-02-24,A21,Swiggy,23
2023-02-25,A21,Paytm,16
2023-02-26,A21,Zoho,13
2023-02-27,A21,Salesforce,12
2023-02-28,A21,Google Cloud,17
2023-03-01,A21,Hotstar,16
2023-03-02,A21,Razorpay,15
2023-03-03,A21,Amazon,15
2023-03-04,A21,Google Cloud,17
2023-03-05,A21,Amazon,18
2023-03-06,A21,PayPal,15
2023-03-07,A21,Spotify,20
2023-03-08,A21,Amazon,17
2023-03-09,A21,Zomato,7
2023-03-10,A21,Flipkart,15
2023-03-11,A21,Stripe,17
2023-03-12,A21,Amazon Pay,10
2023-03-13,A21,Google,13
2023-03-14,A21,Facebook,15
2023-03-15,A21,Zoho,15
2023-03-16,A21,PayPal,23
2023-03-17,A21,Google,18
2023-03-18,A21,Hotstar,13
2023-03-19,A21,YouTube,10
2023-03-20,A21,Amazon Pay,17
2023-03-21,A21,YouTube,15
2023-03-22,A21,Jira,17
2023-03-23,A21,Zoho,19
2023-03-24,A21,LinkedIn,9
2023-03-25,A21,Flipkart,18
2023-03-26,A21,Hotstar,20
2023-03-27,A21,Google Cloud,21
2023-03-28,A21,Freshdesk,12
2023-03-29,A21,OpenAI,18
2023-03-30,A21,Amazon,19
2023-03-31,A21,Google Cloud,13
2023-04-01,A21,Flipkart,17
2023-04-02,A21,Amazon,20
2023-04-03,A21,Microsoft Teams,14
2023-04-04,A21,Ola,11
2023-04-05,A21,Google Pay,12
2023-04-06,A21,Flipkart,11
2023-04-07,A21,GitHub,18
2023-04-08,A21,LinkedIn,12
2023-04-09,A21,Flipkart,17
2023-04-10,A21,Slack,9
2023-04-11,A21,Google Cloud,14
2023-04-12,A21,Slack,12
2023-04-13,A21,Facebook,14
2023-04-14,A21,Amazon Pay,19
2023-04-15,A21,Ola,13
2023-04-16,A21,Google Cloud,14
2023-04-17,A21,Flipkart,14
2023-04-18,A21,Microsoft Azure,9
2023-04-19,A21,AWS,17
2023-04-20,A21,Facebook,9
2023-04-21,A21,Amazon Pay,15
2023-04-22,A21,GitLab,16
2023-04-23,A21,AWS,12
2023-04-24,A21,Amazon Pay,7
2023-04-25,A21,AWS,9
2023-04-26,A21,Jira,24
2023-04-27,A21,AWS,21
2023-04-28,A21,Salesforce,22
2023-04-29,A21,Hotstar,18
2023-04-30,A21,Flipkart,8
2023-05-01,A21,PhonePe,21
2023-05-02,A21,Freshdesk,20
2023-05-03,A21,Flipkart,17
2023-05-04,A21,Netflix,13
2023-05-05,A21,Snapchat,12
2023-05-06,A21,Flipkart,12
2023-05-07,A21,Amazon,16
2023-05-08,A21,iCloud,11
2023-05-09,A21,Twitter (X),18
2023-05-10,A21,Hotstar,19
2023-05-11,A21,Hotstar,12
2023-05-12,A21,Microsoft Azure,10
2023-05-13,A21,Dropbox,16
2023-05-14,A21,AWS,15
2023-05-15,A21,Dropbox,20
2023-05-16,A21,Paytm,20
2023-05-17,A21,Snapchat,15
2023-05-18,A21,Freshdesk,13
2023-05-19,A21,Amazon,16
2023-05-20,A21,Zoom,14
2023-05-21,A21,Confluence,10
2023-05-22,A21,Slack,8
2023-05-23,A21,Razorpay,20
2023-05-24,A21,GitLab,13
2023-05-25,A21,GitLab,17
2023-05-26,A21,Uber,18
2023-05-27,A21,Netflix,8
2023-05-28,A21,Netflix,15
2023-05-29,A21,Salesforce,14
2023-05-30,A21,Salesforce,12
2023-05-31,A21,Flipkart,16
2023-06-01,A21,Facebook,15
2023-06-02,A21,AWS,19
2023-06-03,A21,Facebook,14
2023-06-04,A21,LinkedIn,19
2023-06-05,A21,PayPal,15
2023-06-06,A21,Google Pay,9
2023-06-07,A21,Hotstar,7
2023-06-08,A21,Swiggy,14
2023-06-09,A21,GitLab,13
2023-06-10,A21,Facebook,10
2023-06-11,A21,Google Cloud,15
2023-06-12,A21,Zomato,20
2023-06-13,A21,Amazon,11
2023-06-14,A21,Snapchat,14
2023-06-15,A21,Razorpay,14
2023-06-16,A21,AWS,10
2023-06-17,A21,Spotify,15
2023-06-18,A21,Google,21
2023-06-19,A21,Google Cloud,21
2023-06-20,A21,Ola,15
2023-06-21,A21,Confluence,18
2023-06-22,A21,Jira,16
2023-06-23,A21,Microsoft Teams,13
2023-06-24,A21,Microsoft Teams,21
2023-06-25,A21,AWS,17
2023-06-26,A21,iCloud,15
2023-06-27,A21,Google,14
2023-06-28,A21,AWS,15
2023-06-29,A21,Swiggy,13
2023-06-30,A21,GitLab,9
2023-07-01,A21,Dropbox,14
2023-07-02,A21,Amazon,15
2023-07-03,A21,Freshdesk,12
2023-07-04,A21,Spotify,10
2023-07-05,A21,Amazon Pay,14
2023-07-06,A21,AWS,14
2023-07-07,A21,Stripe,11
2023-07-08,A21,Google Pay,11
2023-07-09,A21,OpenAI,15
2023-07-10,A21,GitHub,14
2023-07-11,A21,WhatsApp,16
2023-07-12,A21,GitLab,16
2023-07-13,A21,Freshdesk,16
2023-07-14,A21,Instagram,17
2023-07-15,A21,GitLab,22
2023-07-16,A21,Flipkart,12
2023-07-17,A21,Dropbox,9
2023-07-18,A21,Paytm,13
2023-07-19,A21,Flipkart,14
2023-07-20,A21,AWS,10
2023-07-21,A21,GitLab,11
2023-07-22,A21,Flipkart,11
2023-07-23,A21,Flipkart,20
2023-07-24,A21,Facebook,9
2023-07-25,A21,Google Pay,13
2023-07-26,A21,Amazon,14
2023-07-27,A21,AWS,12
2023-07-28,A21,OpenAI,15
2023-07-29,A21,Facebook,9
2023-07-30,A21,Freshdesk,13
2023-07-31,A21,Slack,11
2023-08-01,A21,Slack,17
2023-08-02,A21,AWS,16
2023-08-03,A21,Amazon,11
2023-08-04,A21,AWS,17
2023-08-05,A21,Freshdesk,12
2023-08-06,A21,LinkedIn,12
2023-08-07,A21,Ola,10
2023-08-08,A21,Spotify,11
2023-08-09,A21,Instagram,21
2023-08-10,A21,Google,17
2023-08-11,A21,Salesforce,11
2023-08-12,A21,Amazon Pay,17
2023-08-13,A21,Freshdesk,6
2023-08-14,A21,Slack,16
2023-08-15,A21,AWS,20
2023-08-16,A21,Dropbox,13
2023-08-17,A21,Zomato,17
2023-08-18,A21,AWS,15
2023-08-19,A21,Confluence,20
2023-08-20,A21,Dropbox,21
2023-08-21,A21,Amazon,15
2023-08-22,A21,Instagram,20
2023-08-23,A21,AWS,13
2023-08-24,A21,Dropbox,16
2023-08-25,A21,Spotify,14
2023-08-26,A21,Snapchat,14
2023-08-27,A21,Jira,16
2023-08-28,A21,Uber,15
2023-08-29,A21,Spotify,19
2023-08-30,A21,Amazon,17
2023-08-31,A21,Zomato,17
2023-09-01,A21,Netflix,17
2023-09-02,A21,Jira,18
2023-09-03,A21,GitHub,22
2023-09-04,A21,Facebook,12
2023-09-05,A21,Freshdesk,21
2023-09-06,A21,OpenAI,19
2023-09-07,A21,Netflix,20
2023-09-08,A21,Confluence,15
2023-09-09,A21,YouTube,16
2023-09-10,A21,Confluence,13
2023-09-11,A21,Confluence,16
2023-09-12,A21,Flipkart,19
2023-09-13,A21,Spotify,9
2023-09-14,A21,Slack,18
2023-09-15,A21,GitLab,11
2023-09-16,A21,Amazon Pay,11
2023-09-17,A21,GitLab,19
2023-09-18,A21,Flipkart,14
2023-09-19,A21,OpenAI,18
2023-09-20,A21,Flipkart,16
2023-09-21,A21,Instagram,14
2023-09-22,A21,Stripe,19
2023-09-23,A21,Dropbox,18
2023-09-24,A21,PhonePe,17
2023-09-25,A21,GitHub,12
2023-09-26,A21,Jira,18
2023-09-27,A21,Amazon,13
2023-09-28,A21,Microsoft Azure,17
2023-09-29,A21,Amazon,12
2023-09-30,A21,Google Pay,15
2023-10-01,A21,AWS,23
2023-10-02,A21,GitLab,17
2023-10-03,A21,WhatsApp,10
2023-10-04,A21,Hotstar,25
2023-10-05,A21,GitLab,12
2023-10-06,A21,Flipkart,14
2023-10-07,A21,Zoho,16
2023-10-08,A21,Amazon Pay,14
2023-10-09,A21,Spotify,17
2023-10-10,A21,Amazon,14
2023-10-11,A21,Zomato,20
2023-10-12,A21,YouTube,19
2023-10-13,A21,Freshdesk,9
2023-10-14,A21,Freshdesk,18
2023-10-15,A21,Google,9
2023-10-16,A21,Facebook,7
2023-10-17,A21,Freshdesk,11
2023-10-18,A21,Ola,15
2023-10-19,A21,GitHub,16
2023-10-20,A21,LinkedIn,11
2023-10-21,A21,Zoom,21
2023-10-22,A21,Google Cloud,14
2023-10-23,A21,LinkedIn,11
2023-10-24,A21,Zoho,13
2023-10-25,A21,Netflix,9
2023-10-26,A21,AWS,14
2023-10-27,A21,iCloud,10
2023-10-28,A21,Netflix,15
2023-10-29,A21,Razorpay,14
2023-10-30,A21,Amazon Pay,19
2023-10-31,A21,Swiggy,19
2023-11-01,A21,Facebook,12
2023-11-02,A21,Amazon Pay,22
2023-11-03,A21,AWS,15
2023-11-04,A21,Amazon Pay,9
2023-11-05,A21,Freshdesk,10
2023-11-06,A21,Spotify,13
2023-11-07,A21,OpenAI,18
2023-11-08,A21,Facebook,18
2023-11-09,A21,Facebook,16
2023-11-10,A21,Zoom,15
2023-11-11,A21,Spotify,12
2023-11-12,A21,Dropbox,15
2023-11-13,A21,YouTube,18
2023-11-14,A21,Hotstar,18
2023-11-15,A21,Google,8
2023-11-16,A21,Amazon,13
2023-11-17,A21,Freshdesk,18
2023-11-18,A21,GitHub,16
2023-11-19,A21,Dropbox,15
2023-11-20,A21,WhatsApp,14
2023-11-21,A21,iCloud,14
2023-11-22,A21,Google Cloud,16
2023-11-23,A21,Ola,26
2023-11-24,A21,PhonePe,21
2023-11-25,A21,Amazon,17
2023-11-26,A21,LinkedIn,12
2023-11-27,A21,Flipkart,16
2023-11-28,A21,Hotstar,14
2023-11-29,A21,Stripe,14
2023-11-30,A21,iCloud,12
2023-12-01,A21,Paytm,14
2023-12-02,A21,Slack,21
2023-12-03,A21,Amazon Pay,16
2023-12-04,A21,LinkedIn,16
2023-12-05,A21,PayPal,9
2023-12-06,A21,AWS,25
2023-12-07,A21,Razorpay,14
2023-12-08,A21,OpenAI,13
2023-12-09,A21,Amazon Pay,9
2023-12-10,A21,Amazon,16
2023-12-11,A21,Spotify,13
2023-12-12,A21,Paytm,13
2023-12-13,A21,Amazon,20
2023-12-14,A21,Amazon Pay,21
2023-12-15,A21,Instagram,14
2023-12-16,A21,Facebook,15
2023-12-17,A21,Amazon Pay,21
2023-12-18,A21,Google,9
2023-12-19,A21,AWS,13
2023-12-20,A21,iCloud,10
2023-12-21,A21,Flipkart,17
2023-12-22,A21,Google,15
2023-12-23,A21,Google Pay,20
2023-12-24,A21,Dropbox,17
2023-12-25,A21,AWS,15
2023-12-26,A21,Snapchat,9
2023-12-27,A21,Microsoft Azure,19
2023-12-28,A21,Paytm,16
2023-12-29,A21,Ola,13
2023-12-30,A21,Microsoft Azure,10
2023-12-31,A21,Google Pay,18
2024-01-01,A21,Razorpay,13
2024-01-02,A21,Twitter (X),6
2024-01-03,A21,Amazon Pay,11
2024-01-04,A21,Facebook,20
2024-01-05,A21,Jira,15
2024-01-06,A21,GitHub,23
2024-01-07,A21,Freshdesk,7
2024-01-08,A21,Twitter (X),10
2024-01-09,A21,OpenAI,13
2024-01-10,A21,Confluence,11
2024-01-11,A21,GitLab,17
2024-01-12,A21,Dropbox,14
2024-01-13,A21,Microsoft Teams,10
2024-01-14,A21,Salesforce,14
2024-01-15,A21,AWS,12
2024-01-16,A21,AWS,8
2024-01-17,A21,Hotstar,14
2024-01-18,A21,Slack,24
2024-01-19,A21,GitLab,6
2024-01-20,A21,PhonePe,15
2024-01-21,A21,Flipkart,16
2024-01-22,A21,GitLab,13
2024-01-23,A21,WhatsApp,15
2024-01-24,A21,AWS,12
2024-01-25,A21,Google Cloud,17
2024-01-26,A21,Hotstar,14
2024-01-27,A21,Razorpay,16
2024-01-28,A21,Hotstar,17
2024-01-29,A21,AWS,15
2024-01-30,A21,Uber,13
2024-01-31,A21,Zoom,13
2024-02-01,A21,Confluence,14
2024-02-02,A21,AWS,16
2024-02-03,A21,Microsoft Azure,14
2024-02-04,A21,AWS,13
2024-02-05,A21,AWS,20
2024-02-06,A21,Google Pay,16
2024-02-07,A21,AWS,18
2024-02-08,A21,Paytm,13
2024-02-09,A21,Flipkart,17
2024-02-10,A21,GitLab,18
2024-02-11,A21,Flipkart,15
2024-02-12,A21,Facebook,12
2024-02-13,A21,AWS,17
2024-02-14,A21,Spotify,8
2024-02-15,A21,Zomato,13
2024-02-16,A21,Flipkart,14
2024-02-17,A21,GitHub,21
2024-02-18,A21,Salesforce,10
2024-02-19,A21,Netflix,22
2024-02-20,A21,Google,20
2024-02-21,A21,Confluence,15
2024-02-22,A21,Microsoft Teams,14
2024-02-23,A21,GitLab,13
2024-02-24,A21,Snapchat,16
2024-02-25,A21,GitHub,16
2024-02-26,A21,Google Pay,17
2024-02-27,A21,AWS,9
2024-02-28,A21,Zomato,12
2024-02-29,A21,Instagram,12
2024-03-01,A21,YouTube,10
2024-03-02,A21,Amazon Pay,15
2024-03-03,A21,Confluence,14
2024-03-04,A21,Swiggy,14
2024-03-05,A21,PayPal,12
2024-03-06,A21,Hotstar,11
2024-03-07,A21,Freshdesk,18
2024-03-08,A21,Google,16
2024-03-09,A21,iCloud,27
2024-03-10,A21,Confluence,18
2024-03-11,A21,Salesforce,13
2024-03-12,A21,Freshdesk,13
2024-03-13,A21,Confluence,14
2024-03-14,A21,AWS,15
2024-03-15,A21,Facebook,16
2024-03-16,A21,Freshdesk,13
2024-03-17,A21,PhonePe,14
2024-03-18,A21,Freshdesk,19
2024-03-19,A21,GitHub,15
2024-03-20,A21,Slack,10
2024-03-21,A21,Google Pay,22
2024-03-22,A21,Freshdesk,10
2024-03-23,A21,WhatsApp,10
2024-03-24,A21,GitHub,11
2024-03-25,A21,Dropbox,16
2024-03-26,A21,GitHub,12
2024-03-27,A21,Netflix,17
2024-03-28,A21,Microsoft Azure,22
2024-03-29,A21,PhonePe,13
2024-03-30,A21,Freshdesk,22
2024-03-31,A21,Salesforce,15
2024-04-01,A21,Razorpay,18
2024-04-02,A21,Ola,22
2024-04-03,A21,Paytm,6
2024-04-04,A21,Amazon Pay,9
2024-04-05,A21,Microsoft Teams,20
2024-04-06,A21,Slack,10
2024-04-07,A21,Stripe,18
2024-04-08,A21,Dropbox,19
2024-04-09,A21,PayPal,11
2024-04-10,A21,Confluence,9
2024-04-11,A21,Instagram,13
2024-04-12,A21,Microsoft Teams,13
2024-04-13,A21,GitHub,8
2024-04-14,A21,Facebook,11
2024-04-15,A21,Microsoft Teams,16
2024-04-16,A21,Paytm,12
2024-04-17,A21,Dropbox,14
2024-04-18,A21,GitLab,21
2024-04-19,A21,Freshdesk,19
2024-04-20,A21,Microsoft Teams,22
2024-04-21,A21,Dropbox,19
2024-04-22,A21,Freshdesk,20
2024-04-23,A21,Salesforce,15
2024-04-24,A21,WhatsApp,9
2024-04-25,A21,Amazon Pay,16
2024-04-26,A21,Google,15
2024-04-27,A21,Flipkart,14
2024-04-28,A21,Paytm,11
2024-04-29,A21,Amazon Pay,15
2024-04-30,A21,Hotstar,13
2024-05-01,A21,Flipkart,24
2024-05-02,A21,LinkedIn,10
2024-05-03,A21,Spotify,18
2024-05-04,A21,Amazon Pay,21
2024-05-05,A21,iCloud,11
2024-05-06,A21,Dropbox,20
2024-05-07,A21,Confluence,12
2024-05-08,A21,Facebook,21
2024-05-09,A21,Google,22
2024-05-10,A21,Microsoft Azure,9
2024-05-11,A21,Confluence,10
2024-05-12,A21,GitHub,14
2024-05-13,A21,LinkedIn,17
2024-05-14,A21,Google Pay,16
2024-05-15,A21,Dropbox,12
2024-05-16,A21,Dropbox,14
2024-05-17,A21,Ola,13
2024-05-18,A21,AWS,16
2024-05-19,A21,Confluence,13
2024-05-20,A21,Amazon,14
2024-05-21,A21,Jira,17
2024-05-22,A21,Amazon,6
2024-05-23,A21,Twitter (X),15
2024-05-24,A21,GitHub,17
2024-05-25,A21,Salesforce,20
2024-05-26,A21,AWS,17
2024-05-27,A21,AWS,13
2024-05-28,A21,Facebook,13
2024-05-29,A21,Google Cloud,14
