Time of Call,API Code,App Name,call_count
2023-02-05,A31,Netflix,51
2023-02-12,A31,Salesforce,89
2023-02-19,A31,GitLab,107
2023-02-26,A31,Dropbox,103
2023-03-05,A31,Freshdesk,80
2023-03-12,A31,Confluence,94
2023-03-19,A31,PhonePe,108
2023-03-26,A31,YouTube,105
2023-04-02,A31,Instagram,101
2023-04-09,A31,Stripe,116
2023-04-16,A31,Jira,91
2023-04-23,A31,GitLab,99
2023-04-30,A31,Zoho,124
2023-05-07,A31,Freshdesk,120
2023-05-14,A31,iCloud,99
2023-05-21,A31,Razorpay,94
2023-05-28,A31,Google Pay,113
2023-06-04,A31,LinkedIn,112
2023-06-11,A31,Amazon Pay,96
2023-06-18,A31,GitLab,107
2023-06-25,A31,LinkedIn,92
2023-07-02,A31,Flipkart,107
2023-07-09,A31,Amazon,106
2023-07-16,A31,iCloud,101
2023-07-23,A31,Ola,123
2023-07-30,A31,WhatsApp,96
2023-08-06,A31,Google Cloud,105
2023-08-13,A31,Google,89
2023-08-20,A31,Netflix,96
2023-08-27,A31,Instagram,106
2023-09-03,A31,Spotify,98
2023-09-10,A31,Microsoft Azure,117
2023-09-17,A31,Instagram,116
2023-09-24,A31,Facebook,102
2023-10-01,A31,Zoom,98
2023-10-08,A31,Google,108
2023-10-15,A31,Hotstar,93
2023-10-22,A31,Spotify,110
2023-10-29,A31,Facebook,121
2023-11-05,A31,Freshdesk,117
2023-11-12,A31,Jira,103
2023-11-19,A31,Confluence,113
2023-11-26,A31,Stripe,103
2023-12-03,A31,Freshdesk,92
2023-12-10,A31,GitLab,114
2023-12-17,A31,Razorpay,104
2023-12-24,A31,GitLab,115
2023-12-31,A31,Flipkart,104
2024-01-07,A31,OpenAI,109
2024-01-14,A31,Spotify,102
2024-01-21,A31,Zoho,114
2024-01-28,A31,Paytm,102
2024-02-04,A31,LinkedIn,107
2024-02-11,A31,Spotify,111
2024-02-18,A31,Paytm,85
2024-02-25,A31,Amazon,107
2024-03-03,A31,Razorpay,104
2024-03-10,A31,GitHub,94
2024-03-17,A31,Zoho,105
2024-03-24,A31,Twitter (X),111
2024-03-31,A31,Flipkart,101
2024-04-07,A31,Google Cloud,96
2024-04-14,A31,Slack,114
2024-04-21,A31,Amazon,84
2024-04-28,A31,Google Cloud,93
2024-05-05,A31,Stripe,113
2024-05-12,A31,Zoho,100
2024-05-19,A31,GitHub,106
2024-05-26,A31,Hotstar,103
2024-06-02,A31,Amazon,105
2024-06-09,A31,OpenAI,113
2024-06-16,A31,Spotify,110
2024-06-23,A31,Hotstar,98
2024-06-30,A31,Google,96
2024-07-07,A31,Snapchat,115
2024-07-14,A31,Dropbox,99
2024-07-21,A31,Jira,91
2024-07-28,A31,Freshdesk,106
2024-08-04,A31,AWS,94
2024-08-11,A31,LinkedIn,95
2024-08-18,A31,Amazon,100
2024-08-25,A31,Hotstar,106
2024-09-01,A31,YouTube,87
2024-09-08,A31,Instagram,96
2024-09-15,A31,Instagram,123
2024-09-22,A31,Google,114
2024-09-29,A31,Amazon Pay,125
2024-10-06,A31,AWS,92
2024-10-13,A31,Stripe,104
2024-10-20,A31,Zoho,115
2024-10-27,A31,Instagram,88
2024-11-03,A31,Stripe,120
2024-11-10,A31,Uber,89
2024-11-17,A31,Swiggy,110
2024-11-24,A31,Ola,105
2024-12-01,A31,GitHub,109
2024-12-08,A31,iCloud,109
2024-12-15,A31,Netflix,107
2024-12-22,A31,AWS,109
2024-12-29,A31,Dropbox,111
2025-01-05,A31,Google,118
2025-01-12,A31,Jira,109
2025-01-19,A31,Google,106
2025-01-26,A31,Microsoft Teams,91
2025-02-02,A31,Amazon,98
2025-02-09,A31,Dropbox,90
2025-02-16,A31,Amazon,116
2025-02-23,A31,AWS,90
2025-03-02,A31,WhatsApp,80
2025-03-09,A31,Dropbox,97
2025-03-16,A31,Razorpay,105
2025-03-23,A31,Instagram,121
2025-03-30,A31,Jira,106
2025-04-06,A31,iCloud,105
2025-04-13,A31,Netflix,121
2025-04-20,A31,Salesforce,104
2025-04-27,A31,Snapchat,97
2025-05-04,A31,Ola,101
2025-05-11,A31,Ola,104
2025-05-18,A31,PayPal,113
2025-05-25,A31,GitLab,94
2025-06-01,A31,AWS,91
2025-06-08,A31,Zoho,81
2025-06-15,A31,Flipkart,99
2025-06-22,A31,AWS,85
2025-06-29,A31,Dropbox,90
2025-07-06,A31,GitLab,107
2025-07-13,A31,Dropbox,83
2025-07-20,A31,GitLab,100
2025-07-27,A31,PayPal,104
2025-08-03,A31,Confluence,106
2025-08-10,A31,Facebook,77
2025-08-17,A31,Amazon Pay,103
2025-08-24,A31,Flipkart,92
2025-08-31,A31,Flipkart,90
2025-09-07,A31,Snapchat,104
2025-09-14,A31,Dropbox,95
2025-09-21,A31,YouTube,90
2025-09-28,A31,YouTube,90
2025-10-05,A31,Confluence,101
2025-10-12,A31,Ola,109
2025-10-19,A31,AWS,85
2025-10-26,A31,Freshdesk,106
2025-11-02,A31,LinkedIn,105
2025-11-09,A31,Salesforce,92
2025-11-16,A31,LinkedIn,96
2025-11-23,A31,Amazon,14
