ds,y
2023-02-05,54
2023-02-12,115
2023-02-19,101
2023-02-26,96
2023-03-05,130
2023-03-12,93
2023-03-19,106
2023-03-26,98
2023-04-02,108
2023-04-09,92
2023-04-16,115
2023-04-23,98
2023-04-30,101
2023-05-07,109
2023-05-14,114
2023-05-21,93
2023-05-28,100
2023-06-04,100
2023-06-11,104
2023-06-18,103
2023-06-25,103
2023-07-02,114
2023-07-09,121
2023-07-16,96
2023-07-23,104
2023-07-30,117
2023-08-06,97
2023-08-13,92
2023-08-20,96
2023-08-27,116
2023-09-03,110
2023-09-10,85
2023-09-17,119
2023-09-24,119
2023-10-01,102
2023-10-08,125
2023-10-15,115
2023-10-22,104
2023-10-29,124
2023-11-05,96
2023-11-12,112
2023-11-19,103
2023-11-26,93
2023-12-03,92
2023-12-10,103
2023-12-17,115
2023-12-24,111
2023-12-31,97
2024-01-07,101
2024-01-14,107
2024-01-21,108
2024-01-28,107
2024-02-04,97
2024-02-11,113
2024-02-18,88
2024-02-25,107
2024-03-03,107
2024-03-10,100
2024-03-17,108
2024-03-24,108
2024-03-31,115
2024-04-07,106
2024-04-14,104
2024-04-21,111
2024-04-28,115
2024-05-05,102
2024-05-12,109
2024-05-19,105
2024-05-26,91
2024-06-02,111
2024-06-09,99
2024-06-16,108
2024-06-23,93
2024-06-30,84
2024-07-07,137
2024-07-14,108
2024-07-21,110
2024-07-28,111
2024-08-04,107
2024-08-11,112
2024-08-18,94
2024-08-25,95
2024-09-01,97
2024-09-08,100
2024-09-15,113
2024-09-22,98
2024-09-29,95
2024-10-06,118
2024-10-13,105
2024-10-20,103
2024-10-27,109
2024-11-03,111
2024-11-10,108
2024-11-17,106
2024-11-24,99
2024-12-01,119
2024-12-08,114
2024-12-15,93
2024-12-22,124
2024-12-29,105
2025-01-05,93
2025-01-12,117
2025-01-19,108
2025-01-26,109
2025-02-02,92
2025-02-09,96
2025-02-16,100
2025-02-23,93
2025-03-02,82
2025-03-09,107
2025-03-16,88
2025-03-23,100
2025-03-30,105
2025-04-06,116
2025-04-13,94
2025-04-20,101
2025-04-27,112
2025-05-04,100
2025-05-11,81
2025-05-18,101
2025-05-25,95
2025-06-01,76
2025-06-08,91
2025-06-15,90
2025-06-22,86
2025-06-29,104
2025-07-06,112
2025-07-13,96
2025-07-20,95
2025-07-27,109
2025-08-03,108
2025-08-10,86
2025-08-17,87
2025-08-24,87
2025-08-31,115
2025-09-07,89
2025-09-14,87
2025-09-21,105
2025-09-28,84
2025-10-05,106
2025-10-12,91
2025-10-19,81
2025-10-26,101
2025-11-02,98
2025-11-09,101
2025-11-16,100
