ds,y
2023-02-28,395
2023-03-31,473
2023-04-30,461
2023-05-31,459
2023-06-30,441
2023-07-31,496
2023-08-31,469
2023-09-30,453
2023-10-31,460
2023-11-30,428
2023-12-31,485
2024-01-31,452
2024-02-29,429
2024-03-31,468
2024-04-30,436
2024-05-31,464
2024-06-30,472
2024-07-31,435
2024-08-31,400
2024-09-30,453
2024-10-31,489
2024-11-30,452
2024-12-31,472
2025-01-31,449
2025-02-28,401
2025-03-31,436
2025-04-30,395
2025-05-31,409
2025-06-30,417
2025-07-31,403
2025-08-31,447
2025-09-30,416
2025-10-31,403
