ds,y
2023-02-05,60
2023-02-12,107
2023-02-19,96
2023-02-26,100
2023-03-05,101
2023-03-12,115
2023-03-19,98
2023-03-26,125
2023-04-02,92
2023-04-09,106
2023-04-16,106
2023-04-23,126
2023-04-30,97
2023-05-07,118
2023-05-14,100
2023-05-21,102
2023-05-28,106
2023-06-04,100
2023-06-11,91
2023-06-18,101
2023-06-25,102
2023-07-02,117
2023-07-09,124
2023-07-16,122
2023-07-23,94
2023-07-30,102
2023-08-06,111
2023-08-13,107
2023-08-20,106
2023-08-27,93
2023-09-03,108
2023-09-10,114
2023-09-17,120
2023-09-24,86
2023-10-01,110
2023-10-08,107
2023-10-15,118
2023-10-22,92
2023-10-29,93
2023-11-05,94
2023-11-12,99
2023-11-19,109
2023-11-26,111
2023-12-03,87
2023-12-10,134
2023-12-17,110
2023-12-24,91
2023-12-31,112
2024-01-07,116
2024-01-14,87
2024-01-21,101
2024-01-28,106
2024-02-04,105
2024-02-11,102
2024-02-18,109
2024-02-25,90
2024-03-03,107
2024-03-10,95
2024-03-17,114
2024-03-24,102
2024-03-31,115
2024-04-07,105
2024-04-14,98
2024-04-21,99
2024-04-28,98
2024-05-05,99
2024-05-12,105
2024-05-19,126
2024-05-26,102
2024-06-02,107
2024-06-09,108
2024-06-16,100
2024-06-23,114
2024-06-30,111
2024-07-07,92
2024-07-14,91
2024-07-21,112
2024-07-28,97
2024-08-04,100
2024-08-11,98
2024-08-18,93
2024-08-25,97
2024-09-01,71
2024-09-08,88
2024-09-15,103
2024-09-22,106
2024-09-29,120
2024-10-06,98
2024-10-13,108
2024-10-20,126
2024-10-27,119
2024-11-03,108
2024-11-10,115
2024-11-17,106
2024-11-24,93
2024-12-01,96
2024-12-08,118
2024-12-15,96
2024-12-22,111
2024-12-29,110
2025-01-05,102
2025-01-12,105
2025-01-19,106
2025-01-26,90
2025-02-02,109
2025-02-09,94
2025-02-16,99
2025-02-23,99
2025-03-02,102
2025-03-09,95
2025-03-16,103
2025-03-23,100
2025-03-30,99
2025-04-06,90
2025-04-13,81
2025-04-20,104
2025-04-27,95
2025-05-04,92
2025-05-11,102
2025-05-18,93
2025-05-25,84
2025-06-01,83
2025-06-08,95
2025-06-15,101
2025-06-22,99
2025-06-29,106
2025-07-06,80
2025-07-13,102
2025-07-20,98
2025-07-27,78
2025-08-03,96
2025-08-10,91
2025-08-17,117
2025-08-24,99
2025-08-31,97
2025-09-07,89
2025-09-14,99
2025-09-21,104
2025-09-28,89
2025-10-05,102
2025-10-12,95
2025-10-19,77
2025-10-26,87
2025-11-02,104
2025-11-09,99
2025-11-16,84
