Time of Call,API Code,App Name,call_count
2023-02-28,A69,Amazon Pay,425
2023-03-31,A69,Dropbox,462
2023-04-30,A69,Stripe,476
2023-05-31,A69,Confluence,468
2023-06-30,A69,Amazon,457
2023-07-31,A69,PayPal,513
2023-08-31,A69,Zomato,486
2023-09-30,A69,WhatsApp,463
2023-10-31,A69,Google,458
2023-11-30,A69,GitHub,447
2023-12-31,A69,Razorpay,467
2024-01-31,A69,PhonePe,468
2024-02-29,A69,Uber,416
2024-03-31,A69,Zoom,442
2024-04-30,A69,GitHub,424
2024-05-31,A69,Google Pay,461
2024-06-30,A69,Microsoft Azure,455
2024-07-31,A69,iCloud,516
2024-08-31,A69,Swiggy,479
2024-09-30,A69,Google Pay,469
2024-10-31,A69,Ola,493
2024-11-30,A69,Facebook,403
2024-12-31,A69,GitLab,476
2025-01-31,A69,Flipkart,458
2025-02-28,A69,Hotstar,384
2025-03-31,A69,Zoom,407
2025-04-30,A69,Facebook,419
2025-05-31,A69,Instagram,423
2025-06-30,A69,GitHub,405
2025-07-31,A69,Dropbox,416
2025-08-31,A69,Amazon,423
2025-09-30,A69,Freshdesk,419
2025-10-31,A69,Instagram,400
2025-11-30,A69,WhatsApp,243
