Time of Call,API Code,App Name,call_count
2023-02-05,A69,Amazon Pay,67
2023-02-12,A69,GitHub,116
2023-02-19,A69,Instagram,109
2023-02-26,A69,Amazon,95
2023-03-05,A69,Confluence,126
2023-03-12,A69,Stripe,104
2023-03-19,A69,Hotstar,103
2023-03-26,A69,Dropbox,99
2023-04-02,A69,Instagram,101
2023-04-09,A69,Dropbox,106
2023-04-16,A69,PhonePe,102
2023-04-23,A69,Confluence,126
2023-04-30,A69,Confluence,109
2023-05-07,A69,Instagram,101
2023-05-14,A69,Confluence,107
2023-05-21,A69,Google,103
2023-05-28,A69,Confluence,111
2023-06-04,A69,Uber,118
2023-06-11,A69,Google Pay,103
2023-06-18,A69,iCloud,97
2023-06-25,A69,Facebook,119
2023-07-02,A69,Slack,105
2023-07-09,A69,Instagram,115
2023-07-16,A69,Facebook,119
2023-07-23,A69,Salesforce,117
2023-07-30,A69,PayPal,101
2023-08-06,A69,Stripe,109
2023-08-13,A69,Netflix,113
2023-08-20,A69,AWS,102
2023-08-27,A69,Freshdesk,116
2023-09-03,A69,WhatsApp,113
2023-09-10,A69,Google,96
2023-09-17,A69,Microsoft Azure,106
2023-09-24,A69,Microsoft Teams,120
2023-10-01,A69,Netflix,116
2023-10-08,A69,Google,93
2023-10-15,A69,Amazon Pay,100
2023-10-22,A69,Google,100
2023-10-29,A69,Swiggy,114
2023-11-05,A69,Microsoft Azure,109
2023-11-12,A69,Confluence,99
2023-11-19,A69,LinkedIn,105
2023-11-26,A69,Hotstar,102
2023-12-03,A69,Netflix,130
2023-12-10,A69,Google Cloud,115
2023-12-17,A69,GitHub,94
2023-12-24,A69,Microsoft Teams,91
2023-12-31,A69,GitHub,100
2024-01-07,A69,PhonePe,114
2024-01-14,A69,Razorpay,103
2024-01-21,A69,Hotstar,103
2024-01-28,A69,Amazon Pay,113
2024-02-04,A69,Amazon,90
2024-02-11,A69,GitLab,87
2024-02-18,A69,GitLab,105
2024-02-25,A69,Google Pay,108
2024-03-03,A69,Zoho,99
2024-03-10,A69,Zoom,98
2024-03-17,A69,iCloud,118
2024-03-24,A69,Twitter (X),92
2024-03-31,A69,Amazon Pay,96
2024-04-07,A69,GitHub,92
2024-04-14,A69,PayPal,112
2024-04-21,A69,Instagram,91
2024-04-28,A69,GitHub,100
2024-05-05,A69,Microsoft Teams,91
2024-05-12,A69,Facebook,112
2024-05-19,A69,Jira,125
2024-05-26,A69,PayPal,89
2024-06-02,A69,GitLab,106
2024-06-09,A69,Ola,112
2024-06-16,A69,Confluence,95
2024-06-23,A69,Zoom,108
2024-06-30,A69,Swiggy,107
2024-07-07,A69,Swiggy,113
2024-07-14,A69,PayPal,123
2024-07-21,A69,iCloud,103
2024-07-28,A69,Hotstar,121
2024-08-04,A69,Dropbox,117
2024-08-11,A69,OpenAI,110
2024-08-18,A69,Swiggy,111
2024-08-25,A69,Zoho,105
2024-09-01,A69,GitLab,117
2024-09-08,A69,Amazon,109
2024-09-15,A69,Salesforce,101
2024-09-22,A69,Google Pay,102
2024-09-29,A69,Amazon,120
2024-10-06,A69,AWS,82
2024-10-13,A69,Freshdesk,110
2024-10-20,A69,Amazon,129
2024-10-27,A69,Ola,110
2024-11-03,A69,Hotstar,111
2024-11-10,A69,Google,94
2024-11-17,A69,Microsoft Azure,105
2024-11-24,A69,OpenAI,91
2024-12-01,A69,GitLab,87
2024-12-08,A69,Facebook,109
2024-12-15,A69,Flipkart,103
2024-12-22,A69,Razorpay,120
2024-12-29,A69,Razorpay,95
2025-01-05,A69,Confluence,110
2025-01-12,A69,Microsoft Azure,100
2025-01-19,A69,Flipkart,95
2025-01-26,A69,LinkedIn,113
2025-02-02,A69,Confluence,104
2025-02-09,A69,Confluence,109
2025-02-16,A69,Google Pay,91
2025-02-23,A69,Freshdesk,95
2025-03-02,A69,Google,89
2025-03-09,A69,Spotify,86
2025-03-16,A69,Amazon,98
2025-03-23,A69,Google Cloud,98
2025-03-30,A69,Google Pay,86
2025-04-06,A69,iCloud,90
2025-04-13,A69,Facebook,94
2025-04-20,A69,PhonePe,97
2025-04-27,A69,Amazon,109
2025-05-04,A69,Stripe,89
2025-05-11,A69,AWS,96
2025-05-18,A69,Spotify,106
2025-05-25,A69,Instagram,98
2025-06-01,A69,YouTube,90
2025-06-08,A69,Amazon,99
2025-06-15,A69,Snapchat,92
2025-06-22,A69,Microsoft Teams,87
2025-06-29,A69,Confluence,98
2025-07-06,A69,Salesforce,94
2025-07-13,A69,Google,87
2025-07-20,A69,Freshdesk,76
2025-07-27,A69,Dropbox,97
2025-08-03,A69,Slack,122
2025-08-10,A69,PhonePe,90
2025-08-17,A69,GitHub,90
2025-08-24,A69,Amazon,107
2025-08-31,A69,Dropbox,91
2025-09-07,A69,PayPal,92
2025-09-14,A69,Google,97
2025-09-21,A69,GitLab,102
2025-09-28,A69,Freshdesk,89
2025-10-05,A69,Hotstar,109
2025-10-12,A69,Flipkart,87
2025-10-19,A69,Snapchat,90
2025-10-26,A69,Facebook,91
2025-11-02,A69,Amazon,82
2025-11-09,A69,PayPal,99
2025-11-16,A69,Google,111
2025-11-23,A69,Amazon Pay,13
