datetime,call_count
2023-02-28,400
2023-03-31,488
2023-04-30,406
2023-05-31,476
2023-06-30,437
2023-07-31,440
2023-08-31,462
2023-09-30,506
2023-10-31,517
2023-11-30,400
2023-12-31,462
2024-01-31,457
2024-02-29,439
2024-03-31,473
2024-04-30,409
2024-05-31,464
2024-06-30,459
2024-07-31,467
2024-08-31,471
2024-09-30,425
2024-10-31,461
2024-11-30,452
2024-12-31,458
2025-01-31,477
2025-02-28,358
2025-03-31,411
2025-04-30,450
2025-05-31,432
2025-06-30,411
2025-07-31,412
2025-08-31,436
2025-09-30,359
2025-10-31,391
